id,type,views,forwards,has_replies,date,text,has_file,has_document,file_type,has_audio,has_photo,has_gif,candidate,timestamp
1,Admin action,,,False,2020-08-20 17:20:59+00:00,MessageActionChannelCreate,False,False,,False,False,False,sergiofajardo,2022-02-03 12:05:39.668549
2,Admin action,,,False,2020-08-20 17:23:03+00:00,MessageActionChatEditPhoto,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.668549
3,Message,266,0,False,2020-08-23 16:00:18+00:00,Feliz domingo. Los invitamos a ver la entrevista de Sergio Fajardo con Vicky Dávila hoy a las 7:30 pm por las redes sociales de Semana y Semana.com,False,False,,False,False,False,sergiofajardo,2022-02-03 12:05:39.667553
4,Message,282,0,False,2020-08-23 16:00:28+00:00,,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.667553
5,Message,266,1,False,2020-08-24 15:46:46+00:00,,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.667553
6,Message,331,0,False,2020-08-24 20:21:18+00:00,Los invitamos a leer el pronunciamiento completo: https://compromisociudadano.com/no-es-un-capricho-con-gustavo-petro-no-voy-a-participar-en-una-consulta/,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.667553
8,Message,310,0,False,2020-08-28 20:59:58+00:00,,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.667553
9,Message,346,0,False,2020-09-05 13:43:27+00:00,,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.667553
10,Message,446,0,False,2020-09-07 17:23:21+00:00,,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.667553
11,Message,443,1,False,2020-09-17 20:32:49+00:00,,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.667553
12,Message,501,0,False,2020-10-21 17:17:57+00:00,Mañana hablaremos de nuestra propuesta de empleo en compañía del grupo de expertos que participaron en su estructuración. La cita es las 6:30 p. m. en mis redes sociales (Twitter  Facebook y YouTube)+. Inscríbanse y envíennos sus preguntas para resolverlas en el conversatorio: https://t.co/OBzwqWTkvH https://t.co/rooTUFcyke,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.667553
13,Message,520,0,False,2020-10-21 17:31:39+00:00,,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.667553
14,Message,336,0,False,2021-01-19 22:09:46+00:00,En Compromiso Ciudadano llevamos 21 años luchando contra la corrupción y la politiquería. En cada campaña  ese ha sido uno de los principales ejes de nuestro discurso y en cada gobierno la transparencia ha sido la condición transversal de todas nuestras acciones.. . Estas son cinco de las principales acciones que llevamos a cabo en nuestras gestiones  en la Alcaldía de Medellín y la Gobernación de Antioquia  para combatir la corrupción:. . https://sergiofajardo.co/logros/5-formas-fajardo-contra-la-corrupcion/,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.667553
15,Message,276,0,False,2021-01-25 15:05:54+00:00,Feliz inicio de semana. . . Cuando fui alcalde logramos transformar a Medellín con acciones revolucionarias. El mundo volteó su mirada hacia la ciudad. Estas fueron algunas de ellas.. . https://sergiofajardo.co/logros/5-acciones-de-fajardo-que-cambiaron-a-medellin-para-siempre/,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.667553
16,Message,203,0,False,2021-02-02 01:39:51+00:00,Sergio Fajardo hablará mañana sobre el rumbo del país en el Gran Foro Colombia 2021 de Semana. No olviden inscribirse previamente en www.forosSemana.com.. . Algunos de los temas a tratar serán la reactivación económica  el desempleo  la seguridad  las protestas y la transformación energética.,False,False,,False,False,False,sergiofajardo,2022-02-03 12:05:39.667553
17,Message,205,0,False,2021-02-02 01:39:56+00:00,,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.653567
18,Message,220,0,False,2021-02-02 13:53:41+00:00,Recuerden  Sergio Fajardo hablará hoy en el Gran Foro Colombia 2021 de Semana a las 11:00 a. m. . . Va a hablar sobre cómo se moverán las relaciones políticas en 2021.. . Pueden seguir el evento en las redes sociales de Revista Semana  en ForosSemana.com y Semana.com,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.653567
19,Message,229,0,False,2021-02-04 01:36:22+00:00,https://sergiofajardo.co/columnas/para-donde-va-colombia-la-vision-de-sergio-fajardo/,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.653567
20,Message,235,0,False,2021-02-05 00:08:16+00:00,Hoy tuvimos nueva reunión en el propósito de construir amplia convergencia para la necesaria transformación de Colombia. . . Avanzamos en discusión de principios ideológicos que nos unen y seguiremos trabajando las próximas semanas.. . Cristo  De La Calle  Fajardo  Galán  Robledo  Partido Verde.,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.653567
21,Message,255,1,False,2021-02-07 13:38:20+00:00,#FelizDomingo. . Les comparto 2 valiosos artículos relacionados con mis posturas:. . https://sergiofajardo.co/columnas/sergio-fajardo-forma-de-hacer-politica/,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.652569
22,Message,294,0,False,2021-02-07 13:38:50+00:00,https://sergiofajardo.co/columnas/sergio-fajardo-sobre-ivan-duque/,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.652569
23,Message,239,0,False,2021-02-11 12:49:22+00:00,,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.652569
24,Message,216,0,False,2021-02-14 21:00:26+00:00,¿Por qué me vinculan?¿Cómo participé en el proyecto de Hidroituango? ¿Qué labor realizó la junta de Hidroituango? Esta es la verdad sobre el caso..  https://sergiofajardo.co/columnas/sergio-fajardo-sobre-imputacion-hidroituango/,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.652569
25,Message,235,0,False,2021-02-15 02:08:42+00:00,El 2021 arrancó con otro capítulo más de la destrucción de EPM. Comparto algunas reflexiones sobre este tema y sobre Medellín.. . https://sergiofajardo.co/columnas/sergio-fajardo-quintero-epm-opinion/,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.652569
26,Message,233,0,False,2021-02-16 01:57:09+00:00,sergiofajardo.co/epm,True,True,video/mp4,False,False,False,sergiofajardo,2022-02-03 12:05:39.652569
27,Message,226,0,False,2021-02-18 14:19:59+00:00,,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.652569
28,Message,216,0,False,2021-02-19 18:50:53+00:00,https://sergiofajardo.co/prensa/convergencia-sergio-fajardo-consulta-2022/,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.652569
29,Message,260,1,False,2021-02-22 00:35:37+00:00,Sergio Fajardo fue elegido el mejor alcalde de Colombia entre 2004-2007 porque inició la transformación de Medellín que en la década de los noventa se había convertido en una de las ciudades más violentas del continente.. . El lema de su administración Del Miedo a la Esperanza se convirtió en una realidad tangible para las y los medellinenses por varios hechos. En esta entrega explicamos cinco de ellos.. . https://sergiofajardo.co/logros/por-que-sergio-fajardo-fue-elegido-como-el-mejor-alcalde-de-colombia/,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.652569
30,Message,243,2,False,2021-02-27 01:13:07+00:00,Síganme en TikTok. Estoy compartiendo ideas  enseñanzas y propuestas para transformar a Colombia.. . Perfil oficial: sergiofajardo.co/tiktok,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.652569
31,Message,255,0,False,2021-02-28 16:53:53+00:00,,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.652569
32,Message,247,0,False,2021-03-03 01:26:02+00:00,,True,True,video/mp4,False,False,False,sergiofajardo,2022-02-03 12:05:39.652569
33,Message,294,0,False,2021-03-04 14:13:17+00:00,En breve estaré hablando del tema desde Barranquilla. Podrán seguir la transmisión en vivo por  https://www.facebook.com/SergioFajardoV y en las redes de la Universidad Autónoma del Caribe o por Youtube: https://youtu.be/iLlX_9vCr94,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.652569
34,Message,256,0,False,2021-03-15 23:51:38+00:00,https://www.facebook.com/SergioFajardoV/,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.652569
35,Message,234,0,False,2021-03-24 02:44:04+00:00,https://sergiofajardo.co/noticias/sergio-fajardo-le-ganaria-a-petro-en-segunda-vuelta/,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.652569
36,Message,239,1,False,2021-03-25 00:47:12+00:00,Acá pueden ver #LaHoraTripleA con Sergio Fajardo #HablaFajardo https://www.youtube.com/watch?v=B7KEbIRcfgg,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.652569
37,Message,273,0,False,2021-04-01 15:39:37+00:00,¡Hola!. . Esta Semana Santa te invitamos a leer algunos de los artículos más importantes que se han publicado durante este primer trimestre sobre Sergio Fajardo. Te ayudarán a conocer la visión de Fajardo  su trabajo durante 2021  y sus ideas para transformar a Colombia: . . Estas han sido las propuestas y acciones de Fajardo durante la pandemia:. https://sergiofajardo.co/propuestas-para-colombia/propuestas-de-fajardo-durante-la-pandemia/. . Sergio Fajardo: el único candidato que le ganaría a Petro en segunda vuelta: https://sergiofajardo.co/noticias/sergio-fajardo-le-ganaria-a-petro-en-segunda-vuelta/. . ¿Para dónde va Colombia? La visión de Sergio Fajardo: https://sergiofajardo.co/noticias/para-donde-va-colombia-la-vision-de-sergio-fajardo/. . Confianza  coherencia y consistencia: lo que traemos a la política: https://sergiofajardo.co/preguntele-a-fajardo/por-que-deberia-votar-por-sergio-fajardo-en-el-2022/. . ¿Qué libros lee Sergio Fajardo?: https://sergiofajardo.co/preguntele-a-fajardo/preguntele-a-fajardo-que-libros-lee-sergio-fajardo/,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.652569
38,Message,259,2,False,2021-04-06 14:48:54+00:00,https://sergiofajardo.co/noticias/imputacion-fiscalia-a-fajardo-comunicado-que-sigue-explicacion/,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.652569
39,Message,439,2,False,2021-04-08 18:03:18+00:00,Tienen miedo porque nosotros significamos la esperanza,True,True,video/mp4,False,False,False,sergiofajardo,2022-02-03 12:05:39.652569
40,Message,235,0,False,2021-04-19 00:12:10+00:00,Hola:. . En la página web de Sergio Fajardo ya se encuentra publicada *nuestra opinión sobre la tercera reforma tributaria propuesta por el Gobierno*: https://sergiofajardo.co/noticias/analisis-de-la-reforma-tributaria-sergio-fajardo/. . *Te invitamos a compartir el enlace en redes sociales con estos mensajes incluidos en el artículo:*. . La reforma tributaria no reconoce la crisis que vive la clase media. Colombianos que ganan $2 5 millones mensuales tendrían que pagar un impuesto de renta que se sumaría a los pagos de otros impuestos. https://bit.ly/3x4WwRy. . No estamos de acuerdo tampoco con el IVA a los servicios públicos de los estratos 4  5 y 6. https://bit.ly/3x4WwRy. . La reforma trae aumento del IVA por la puerta de atrás mediante eliminación de la devolución del impuesto en carnes  queso  huevos  y viene con ampliación en computadores  tabletas y celulares. https://bit.ly/3x4WwRy. . La reforma tributaria golpea al sector agrícola. La eliminación de la devolución del impuesto en las cadenas de producción pone nuevos retos a los productores agrícolas. https://bit.ly/3x4WwRy. . La reforma tributaria se queda corta en el ingreso básico para los más pobres: propone un ingreso solidario que llegaría a $168.000 mensuales para una familia pobre de 4 personas. https://bit.ly/3x4WwRy,True,False,,False,True,False,sergiofajardo,2022-02-03 12:05:39.652569
41,Message,194,1,False,2021-04-26 23:09:31+00:00,,True,True,video/mp4,False,False,False,sergiofajardo,2022-02-03 12:05:39.651572
